POSTOS DE COMBUSTIVEL;PONTO Z;AV MAJOR CARLOS PINTO 321;96211-021;CENTRO;RIO GRANDE;RS
RESTAURANTE;LANCHERIA SAO FRANCISCO;RUA A VILA PIAS 452;96200-970;BOLAXA;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE NOVENTA GRAUS;ESTRADA RIO GRANDE CASSINO 7307;96217-000;BOLAXA;RIO GRANDE;RS
RESTAURANTE;FERNANDO PIZZARIA;RUA SAO BORJA 365;96200-970;CASSIANO;RIO GRANDE;RS
RESTAURANTE;ADRIANO LANCHES;AV RIO GRANDE 473;96205-001;CASSINO;RIO GRANDE;RS
RESTAURANTE;ANDRE LUIS PEREIRA ALMEIDA;RUA DEPUTADO OSWALDO MULLER BARLEM (ABC I, II E III) 840;96207-630;CASSINO;RIO GRANDE;RS
RESTAURANTE;BAR DO ALEMAO;AV RIO GRANDE 79;96207-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;BOTEQUIM DA PRAIA;RUA BAGE 360;96205-050;CASSINO;RIO GRANDE;RS
RESTAURANTE;BUFFET DONA ANA;AV RIO GRANDE 607;96205-001;CASSINO;RIO GRANDE;RS
RESTAURANTE;CASSINO PIZZARIA;RUA SAO BORJA 458;96205-160;CASSINO;RIO GRANDE;RS
RESTAURANTE;CHICOS BAR;RUA CACHOEIRA 383;96205-020;CASSINO;RIO GRANDE;RS
RESTAURANTE;CHICOS BAR;AVENIDA RIO GRANDE 146;96205-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;CHICOS GRELHADOS;AVENIDA RIO GRANDE 537;96205-001;CASSINO;RIO GRANDE;RS
RESTAURANTE;COMERCIAL BUFFON FL69;AV ATLANTICA 0;96207-662;CASSINO;RIO GRANDE;RS
RESTAURANTE;DOG DA ESTACAO;AVENIDA RIO GRANDE 521;96205-001;CASSINO;RIO GRANDE;RS
RESTAURANTE;ELISANA CHAVES OLIVEIRA;RUA URUGUAIANA 599;96205-140;CASSINO;RIO GRANDE;RS
RESTAURANTE;FERNANDO PIZZARIA;AVENIDA RIO GRANDE 488;96205-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;FLOWER SUSHI PUB;RUA LISBOA 338;96207-420;CASSINO;RIO GRANDE;RS
RESTAURANTE;FRANGO MACEDO RODRIGUES E CIA;AVENIDA RIO GRANDE 275;96205-001;CASSINO;RIO GRANDE;RS
RESTAURANTE;GEOVANA NUNES BALDASSARI;RUA DOUTOR VAZ DIAS JUNIOR 430;96205-080;CASSINO;RIO GRANDE;RS
RESTAURANTE;JJ VILLANT;RUA JOSE FERREIRA DOS SANTOS 381;96207-460;CASSINO;RIO GRANDE;RS
RESTAURANTE;LA BANDA CELESTE COM;AV ATLANTICA 356;96206-660;CASSINO;RIO GRANDE;RS
RESTAURANTE;LA COSTA;AVENIDA RIO GRANDE 270;96205-001;CASSINO;RIO GRANDE;RS
RESTAURANTE;LA VENTANA;AVENIDA RIO GRANDE 324;96205-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;LOS CABRONES;AVENIDA ATLÂNTICA 713;96207-662;CASSINO;RIO GRANDE;RS
RESTAURANTE;MARTHA FRENZEL BORBA;AVENIDA RIO GRANDE 53;96207-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;MICHELON LANCHES;AVENIDA RIO GRANDE 278;96205-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;MINIMERCADO QUERENCIA;AVENIDA BRASIL 1519;96210-010;CASSINO;RIO GRANDE;RS
RESTAURANTE;ORLANDO MOLON E CIA LTDA;RUA JOVEM AIRTON PORTO ALEGRE 351;96205-270;CASSINO;RIO GRANDE;RS
RESTAURANTE;PANSERA LANCHES;AVENIDA RIO GRANDE 519;96205-000;CASSINO;RIO GRANDE;RS
RESTAURANTE;PIZZARIA CAPITAO MAINHA;RUA JOVEM AIRTON PORTO ALEGRE 383;96205-270;CASSINO;RIO GRANDE;RS
RESTAURANTE;REDS;ALAMEDA JANDIR GARCIA 700;96206-400;CASSINO;RIO GRANDE;RS
